Engine Power (cc),Mileage (km),Depreciation / year,Price,COE Remaining,Car Age
1498,118796,7260,16200,1,2
1598,,,,1,7
1591,93300,8930,25800,3,9
2982,,,,10,8
3456,103900,15440,56800,3,6
1390,18000,7520,70800,8,7
2362,,15410,54800,3,10
1498,90000,8560,21833,2,1
2497,80000,15850,63900,3,8
1798,,8880,27800,2,11
2997,108000,18590,89800,3,24
1598,,10280,22800,2,4
1598,68000,14720,90000,6,8
1495,,7400,29800,4,3
1595,47000,14910,96888,6,3
1339,101000,9090,23200,2,10
1798,55900,11590,88800,7,9
1595,17000,13110,132800,9,5
1598,81000,10700,58800,5,5
2362,51000,15050,95800,5,10
2362,,11400,53800,5,5
1598,155000,8170,26333,4,10
5000,8200,35940,339888,7,10
1390,80000,10600,62800,5,0
1495,,7360,36800,5,9
2982,,7850,35800,5,7
1986,30,12460,134998,10,9
1598,37052,8490,77800,9,2
1598,110389,10710,29998,2,10
659,104164,6330,31688,5,7
2497,98000,16060,80500,4,9
1390,125000,10150,31800,2,6
1368,,8210,12999,1,7
2362,68281,16400,73800,4,12
2996,73000,31240,290000,7,6
1083,88803,4880,12900,2,7
1997,138720,9830,28800,2,9
1598,108000,10270,23888,2,9
4497,19500,99270,678000,6,10
1984,84860,13480,93800,6,9
1596,72000,10170,69800,7,9
2977,,6900,33800,5,2
1496,17500,9770,76000,8,5
1591,,7770,19800,2,8
1590,33000,8680,71800,8,0
1560,59000,10730,79800,7,9
1497,,8370,19988,2,9
1598,121317,8730,39800,4,1
1390,,12440,122800,9,8
1598,67000,10210,76800,7,7
1794,96000,,18800,0,8
1496,61300,7350,16888,2,7
1498,,9160,39800,4,7
1798,118000,13780,47800,3,8
1998,93000,13110,78000,5,10
1796,112000,21720,34800,1,5
1497,98500,7910,45888,5,3
1987,150000,11380,42000,3,8
2982,,9320,58800,7,7
2362,91600,15190,51700,3,6
1149,81201,5380,9800,2,8
2359,100000,10720,46800,4,7
1794,98188,9150,45800,5,8
1496,54890,8600,80500,9,5
1496,111617,9470,19800,2,8
1598,93000,8740,48800,5,0
1560,,7430,17800,3,9
1595,,8440,27800,3,9
2979,25500,20790,215800,9,8
1798,,13310,58800,3,8
2488,30200,13730,94800,6,7
1998,,11830,24800,2,11
1984,56000,26250,216800,7,10
1390,78000,10170,47800,4,7
4961,67000,35980,360000,10,9
1997,180000,9350,46800,5,8
15681,,15560,75000,5,5
2773,172000,13750,77000,4,7
2496,89000,12280,72800,5,6
1984,139000,10920,38900,2,5
1591,113000,7730,22866,3,0
1998,55000,19610,95000,4,8
1994,179000,10950,36800,2,8
2360,122000,11490,38900,2,8
2953,,10760,18800,2,9
3387,112000,,112888,10,1
1390,62000,9900,62800,6,2
1496,15000,9610,92800,9,9
1796,,14550,38800,2,8
1086,149000,6880,13800,2,6
1998,49000,12000,108800,8,9
1799,108000,8400,36838,5,8
1999,26000,10300,99800,9,0
1598,120000,6900,16800,2,8
2496,,7310,20800,1,4
2378,,8730,39800,5,8
1799,110000,10270,35321,2,7
7545,,14960,79800,6,7
2497,120000,13930,56900,3,2
1991,33500,17960,162000,8,2
1598,,6970,27800,3,4
1598,90000,7830,25321,3,8
1595,51000,12730,93800,7,8
2997,26000,27440,258000,8,9
1490,,7850,19800,2,9
1998,,11750,39800,3,8
1986,16600,12860,131800,9,0
1997,126000,11280,38800,3,9
2996,115000,29070,68888,1,9
1591,,8790,22500,2,7
2493,27000,16590,155800,9,2
1339,,8880,13200,1,10
1984,168000,19580,78000,3,0
7545,,13410,105000,8,6
1497,18000,8880,89000,10,9
4244,74500,36990,175000,4,7
1796,120000,14050,60000,3,9
2953,150000,9310,35888,4,2
2996,80000,18010,114000,5,2
1390,105200,9410,46800,4,3
2995,1358,28290,317800,9,10
1497,165947,10030,20800,1,7
1968,13630,7830,63800,8,5
1598,62994,8000,55888,7,9
1497,,7360,36800,0,5
1796,92707,17430,102800,5,10
1390,62500,11370,64500,5,19
1991,68000,18670,132800,6,1
2982,,8340,36000,5,9
3498,129900,17240,48800,1,2
1498,85000,7360,36800,5,0
1496,20527,9380,78800,8,7
1998,,22820,50000,2,8
2457,100000,8090,72000,9,3
1598,,10400,63800,5,2
2982,,7990,78800,10,6
1560,,9230,73800,8,9
1591,,9800,45800,4,9
1498,,8710,28300,2,0
1998,100000,10760,48833,5,5
2977,,23020,26800,2,3
2362,1600,12940,148000,10,16
15681,,15050,69000,5,0
1986,25652,12940,123998,9,7
1496,,8830,87800,10,5
1498,,8410,30500,3,3
2979,68888,27630,250888,7,5
2521,46500,17650,113800,5,9
1796,80234,16010,101800,5,6
1390,39000,10600,64800,5,1
1598,147000,12560,44800,3,7
1493,46,16410,181988,10,11
1995,75000,15400,79800,4,10
1390,12000,10390,101800,9,9
2354,130000,10890,39800,3,3
1995,220000,11950,31388,1,3
2979,65000,26960,239800,7,8
2362,95000,16370,65800,3,11
1595,17000,17530,133800,7,3
1799,,10680,24888,2,11
1598,24000,9040,83500,9,10
1086,,5430,19800,4,2
1598,45500,14330,100800,6,7
2362,,14320,51800,3,2
1595,55000,14690,122000,8,8
2500,180000,8550,71800,9,5
1498,,9280,21000,2,8
1598,116000,10890,35777,3,4
1395,60000,10780,80800,8,7
1362,72198,10670,69800,6,11
2496,65000,9640,42800,3,12
1999,85000,14760,85800,5,9
2979,32141,26690,178800,6,8
1339,71000,9270,13000,1,1
2457,74000,12980,42800,2,4
2354,130000,,19800,1,4
1598,,8670,22777,1,10
1798,60000,12380,117800,9,8
2362,47500,15110,108800,6,5
1598,88937,13590,98800,6,2
1598,33000,9480,89800,9,9
2982,,8150,36800,5,8
1799,,11430,37500,2,5
3498,76740,18910,117800,5,9
2354,,13050,44800,2,6
1086,148038,6900,23800,4,8
3605,63000,29630,178800,5,9
2995,61618,15640,90888,4,7
1794,132000,11400,25700,2,9
1995,,11300,42888,2,9
2362,,,19800,1,1
659,128000,9310,14688,1,8
1598,70000,9930,53800,5,3
2979,62000,18430,103000,4,5
1598,87777,11270,70300,5,9
1995,110291,11890,35888,2,9
2979,,16280,85500,4,1
2496,78990,,88888,10,10
2378,105003,12350,45800,3,9
2360,30000,11290,105800,9,0
1586,148765,11440,23800,2,8
1997,20853,11700,107999,8,6
1597,139000,10690,26900,2,6
1598,50000,12310,39500,2,9
4244,14035,29470,169000,4,9
1997,40000,16540,144800,8,17
1468,,,18500,1,4
1584,137000,6140,27800,5,2
1595,71000,13560,88800,6,8
2982,,,19800,1,5
1998,90000,12870,63800,5,7
4691,40000,42850,225000,4,9
1598,102000,10510,35500,3,13
1598,30000,9580,71800,7,6
3799,,15870,158800,10,6
2986,,11810,20998,2,3
1598,87000,14920,68100,4,9
2184,,6250,27500,5,11
1499,6308,44350,458000,9,1
1591,,11430,64800,5,2
1995,103000,12160,47100,2,0
1595,25000,15730,153500,9,9
1798,51000,13410,108800,8,7
2982,,8070,78800,10,2
1995,,11600,48800,3,1
3993,46000,57370,413800,6,8
1461,62000,9940,73300,7,4
1986,19000,12810,120800,9,3
4691,17000,38720,278800,6,10
1598,66000,9950,59300,5,8
1796,,8870,88777,10,4
2362,92000,17890,82800,4,7
2497,159200,10790,39800,2,6
1798,,11090,52800,4,3
1984,49500,15640,109800,6,6
1390,83000,10650,69800,5,5
1591,39000,9020,69500,7,1
1390,86000,10570,45800,4,8
1595,57035,13870,126800,9,9
1797,,11460,108800,9,7
1591,,,,2,7
2488,90000,14420,70300,4,10
1798,130000,12760,33800,1,4
1995,138000,11680,47800,3,9
2953,,7640,36800,5,0
1197,12800,10010,93500,9,10
1991,73,16620,182988,10,10
2977,,7490,34800,5,2
1368,71000,10410,48800,4,1
1794,75000,8760,43800,5,9
2500,29000,17280,153500,8,1
2982,,8830,78800,9,8
2835,130000,7580,29500,4,8
2982,,7560,74800,10,12
2979,119000,16950,81000,2,4
2874,,9050,23899,3,6
1597,,7530,72800,10,8
1995,,11260,36800,3,2
1796,122000,13700,42800,2,6
1597,273000,7560,63000,9,10
1560,52000,10830,85888,8,5
1390,,8540,18333,1,8
1598,100200,8000,28388,4,8
1591,54000,9450,48800,5,8
1799,162500,13160,26900,2,9
2184,,12430,12800,1,2
1595,5700,16370,148800,8,4
1395,71612,11660,76800,6,8
1798,,21690,129888,6,9
1496,98000,9540,21800,2,4
1496,238,9140,92800,10,9
1998,137000,9660,79999,9,13
1995,96650,10850,34500,2,8
1598,178000,7720,13800,1,8
1590,19088,8320,73822,9,9
1498,104000,9900,34800,3,8
1598,,7960,39800,5,3
1591,90000,10270,43800,4,10
1799,116000,10590,24800,2,8
5193,,7090,33800,5,3
1984,,,,9,7
1995,,13310,46000,2,8
1796,81000,17990,82800,3,1
1496,,10190,101800,10,9
1999,35000,11150,88300,7,3
1497,123166,9900,34000,3,5
1998,,10940,31800,2,
998,130000,6050,9500,1,7
2143,69,,99988,,5
2497,79112,15740,84800,4,9
1498,15000,11700,115800,9,4
1339,,10060,50800,5,1
1598,127000,8300,19990,1,7
2354,75000,12180,83800,6,1
1997,30700,19050,186800,9,1
1248,,5560,26800,5,7
2979,10000,25150,263800,9,10
1997,17000,11630,108800,9,7
2362,,8720,19800,1,6
1248,,9500,28800,3,6
1390,99000,9570,46800,4,11
1390,72700,12910,74888,5,3
2953,,9100,35800,4,8
2998,,10160,99900,10,10
1598,,7310,24800,4,9
1362,61092,9990,75800,7,9
2354,151000,11660,39888,2,8
2982,,8270,38800,5,7
2354,150000,,21888,1,4
1798,125198,12420,38800,2,8
3456,,17850,67800,3,8
3153,,7000,30800,5,2
2979,99000,,51800,1,10
1368,70469,10490,52800,4,8
1560,,7880,10000,2,1
2977,185000,7920,38800,5,1
1591,92000,9590,25800,2,10
1493,,6670,26000,4,10
2996,20687,70140,98000,2,0
1798,90000,12520,78800,6,7
1496,20,10350,103800,10,5
1597,117000,14930,65000,4,8
1497,199000,9450,20800,1,9
1086,123451,7550,21800,3,1
659,,,22688,1,1
1584,,6390,18000,2,10
1496,22000,9510,86800,9,7
1332,82289,8180,19800,2,8
1998,10000,14960,158888,9,0
1390,100000,11030,63800,5,8
2354,,,,1,9
2982,,8560,83800,10,3
1591,89000,9660,26800,3,6
2496,140000,8560,28900,2,9
1591,165000,9910,29888,3,6
1995,139000,9730,38800,3,
2953,,9560,34800,4,8
1986,35993,12290,110000,8,8
2982,,,85888,,9
1984,120000,13340,39800,2,10
1560,25000,10230,92800,9,14
1495,95500,7330,28000,4,9
1496,,6860,34321,5,8
3153,,5850,24800,5,6
2995,129000,14410,65888,3,3
2979,96500,27130,155800,5,7
1598,,10390,36800,2,10
1595,51200,16250,113800,7,7
1995,132000,10950,22800,1,0
1496,120000,6700,33500,5,8
1598,133248,7640,34888,5,11
4691,36700,38480,167800,3,14
659,145000,6310,24888,4,0
1995,,10470,46800,3,2
1496,12243,9830,88800,9,6
2184,,16130,11800,1,5
2982,,8650,82800,10,3
1598,79110,11130,62800,5,8
1984,99000,17050,55000,2,8
1591,,7310,14800,2,7
2982,,7980,74800,10,6
2198,152191,14110,45800,2,7
1498,,9610,32777,3,5
1591,80000,8830,39700,4,0
1390,,11170,40800,3,5
1796,141000,19490,115000,5,9
1496,2100,10360,108888,10,0
1598,107000,7190,28700,3,9
1998,9615,10470,110800,10,3
1595,,13560,79800,5,8
1999,61000,12040,69800,5,10
659,,5360,26800,5,1
1498,,8270,23800,2,1
1598,7876,7730,79800,9,7
1987,115800,13520,41000,3,8
1796,105000,14760,68800,3,0
1591,66000,10900,25900,2,8
2979,28000,27630,255000,8,10
1797,23,10540,105800,10,1
1586,,13220,25500,2,7
2998,11750,20450,202000,9,8
1799,153089,8410,32800,4,1
2995,108000,19350,93800,3,5
2996,76000,16200,78800,4,8
1496,7100,8550,81800,9,4
1390,,10750,61800,5,16
1999,63400,14340,102800,6,8
2977,,8260,39800,5,11
2499,,8050,70800,9,7
1794,,8460,40800,5,5
1997,,15350,88000,5,10
2982,,7900,78800,10,9
2497,78434,16520,61800,3,7
1496,,6760,33800,5,6
1390,109000,10490,64800,5,5
4395,10000,28190,155800,4,3
1499,,10890,22800,2,10
1797,,12440,92800,7,7
1390,,9280,34000,3,19
1498,78555,6090,23555,3,7
1390,58755,9890,69988,7,3
2156,,,17900,1,4
1999,99570,10590,79000,7,10
2362,107000,8180,81800,10,9
1796,53000,11610,69800,6,3
2993,30000,27880,260000,7,7
1598,13801,8890,85800,9,5
1497,,7850,20800,3,9
2497,108000,15230,75800,4,4
5999,11500,,450800,1,8
1998,,14430,60000,4,10
1390,57075,9810,65800,7,6
1390,122000,11230,32000,3,5
1995,122533,10210,40388,3,1
1499,65000,12090,30838,2,24
1598,,8830,40888,4,4
1797,,,118888,,6
1590,20000,8010,78000,9,6
2960,152477,13970,60300,5,7
1086,95000,4300,13333,3,9
1598,136000,12200,50800,4,9
1390,105000,13910,53321,4,6
2999,,17240,18800,1,5
1994,118388,9430,34000,2,1
1997,,7400,12800,2,8
3498,79000,30060,273000,7,9
1984,6000,20250,218800,9,7
5204,,75430,925000,9,8
1799,,10980,23800,1,3
2299,,6470,6900,1,10
2354,145000,12580,43800,2,9
1591,112000,10790,24800,2,7
1461,,5370,26800,5,6
2979,73800,16410,98800,5,3
3800,63000,51370,250000,4,10
1591,116000,8750,40800,4,8
1591,,,,2,8
6208,29100,43570,169000,2,5
1994,160000,,17000,0,8
1498,,7150,19800,2,9
1498,154000,10260,22000,2,8
1598,43200,13070,74200,5,2
1496,15000,9750,79999,8,10
1797,41750,10940,89800,8,4
1799,,12530,36800,2,3
1997,79757,16910,121999,6,9
1591,,10070,22500,2,4
1598,112630,7760,22000,2,2
1399,100000,6600,21800,3,8
1339,169874,7530,27488,4,9
1984,109643,12120,40888,2,3
1798,,11930,35800,2,10
658,,4560,22800,5,8
658,,5240,24800,5,8
1796,89900,17000,118800,6,0
1591,134000,9030,20800,2,9
2967,4688,19760,226988,10,7
1496,190000,11280,16800,1,7
1995,120000,14020,57800,3,7
1399,118900,7900,22800,3,4
2995,78000,21800,157800,6,7
2982,,12180,26800,3,3
1499,101000,9150,20300,1,2
2999,20000,8690,61888,7,7
2996,,15840,69300,3,1
2143,,11660,102800,9,9
1598,89876,9070,56800,5,17
3189,155000,18670,36888,1,8
1999,97000,10850,32900,2,9
1598,167000,11110,17800,1,10
15681,,18390,83800,5,0
1798,145000,11500,69800,5,0
1598,8957,13480,134000,9,12
1968,,8580,82800,10,6
2982,,8230,77800,10,10
1796,113000,9420,69800,8,4
1994,90000,8020,16800,2,9
1591,83000,8300,15300,1,2
2977,,14930,28800,2,10
1248,,7450,6288,1,9
2497,79000,18530,45700,1,7
1991,23000,12840,120888,8,9
4163,,19100,51500,1,3
2521,142500,,31800,1,4
1596,98000,11400,73000,5,6
1390,62000,9460,70666,7,11
2996,126000,16080,85800,4,5
1598,68000,10240,49800,4,1
1984,46000,15440,110000,6,16
1461,12704,7680,69800,9,3
1598,120000,6500,19800,2,9
1390,86000,9650,36800,3,17
1997,34000,16640,127800,7,0
1991,57,23270,269988,10,6
3153,,7170,19900,3,3
3800,25600,67020,205000,2,7
1591,,9090,16800,2,0
2982,,8730,54800,7,1
3436,50000,27610,115500,3,10
2977,,7360,36800,5,1
2982,18,8410,83800,10,8
1998,12500,19640,199999,9,12
2354,91200,13460,43900,2,6
2496,,8980,23800,1,10
1598,70859,11240,61800,4,8
3436,40000,33470,226800,6,9
658,204000,4950,23800,5,10
1390,36060,10640,75988,7,1
2261,91115,14140,54800,3,5
1799,,8360,41800,5,8
1595,16000,12250,117800,9,7
1999,149000,,17000,1,10
1598,122000,9520,57899,5,6
2979,132000,26870,68888,2,1
2362,110000,15200,55800,3,9
1598,,9040,25900,2,9
1591,95000,9760,41988,4,11
2354,131000,12820,28800,1,5
1595,,11910,15800,1,1
1591,110000,10820,36800,3,8
1461,32000,12240,107500,9,9
2982,18,8410,83800,10,4
2982,,9930,85800,9,8
1997,,8510,22200,1,3
1598,53089,9730,65800,6,5
1598,130000,14700,39800,2,5
1598,,7910,48800,7,5
4608,109500,17700,125888,5,9
1997,73824,17010,93800,5,8
1598,115000,7970,8800,1,0
1598,107000,6440,17800,2,8
658,,8340,9800,2,7
1994,96559,8780,20800,2,0
1799,,8360,41800,5,9
660,15,10670,112788,10,9
2148,,10250,25800,3,9
1390,6873,10610,109988,10,9
1591,129000,11490,17800,1,8
1339,115000,7760,38800,5,7
4163,53000,20190,202000,10,8
1560,,7990,22800,3,1
1395,15845,10700,108988,9,11
1984,,13630,70800,4,7
2261,123888,8020,22000,2,4
2874,,7570,29800,4,8
1798,,13290,40800,2,13
1591,50025,7790,43300,5,5
1799,,7900,39500,5,9
1390,45000,12640,72000,5,12
1368,63321,9930,55800,5,10
1390,,8040,18688,1,9
1998,,8460,42321,5,8
1598,99800,9130,34200,2,2
1339,109000,8150,25000,3,9
2967,54000,26990,228900,6,10
2362,57025,18480,133800,6,4
2148,,5880,54800,10,9
2497,,11790,51800,3,8
1799,,8970,43800,5,7
1390,57819,9470,68800,7,4
1998,110800,11330,18500,1,8
2179,38000,14440,113888,6,10
1499,145000,9870,21800,2,6
1997,39000,18210,145888,7,8
1390,,8320,34800,3,9
12913,,9140,89800,10,10
1798,68000,11940,93800,7,11
1390,,10390,46500,4,4
2198,118523,9990,50800,4,0
1997,40000,16910,154999,8,8
10518,,52040,140000,3,5
1368,80000,6480,31800,4,1
1395,19388,11050,98900,8,9
1086,65408,7630,19000,2,6
1595,91000,14570,88688,5,9
1798,18500,13960,136888,9,6
1799,110000,11360,37800,2,5
2261,,9400,21999,1,1
1799,98000,12060,52800,4,11
1796,63000,16200,80800,4,9
1598,,10310,58500,5,0
1597,92000,15760,53888,3,9
2982,,7760,38800,5,9
2982,,7770,36800,5,8
1999,,11500,108888,9,26
2979,104500,16710,83500,3,2
1997,85000,15670,89800,5,13
2494,,7770,12800,2,10
1591,88000,9020,72666,8,7
2494,288599,6320,61800,10,9
1591,,9770,24800,2,2
5000,146092,21710,110998,3,3
2179,55000,14260,88800,5,9
1496,112000,9880,15800,1,2
